table,column,classification,approved,approved_by,approved_date,note
bulls.parquet,last_activity_date,derived,,,,
bulls.parquet,last_bse_class,derived,,,,
bulls.parquet,last_bse_date,derived,,,,
bulls.parquet,last_bse_motility,derived,,,,
bulls.parquet,last_bse_normal,derived,,,,
bulls.parquet,last_bse_scrotal,derived,,,,
bulls.parquet,last_service_date,derived,,,,
bulls.parquet,last_sire_use,derived,,,,
bulls.parquet,n_bse,derived,,,,
bulls.parquet,n_calves,derived,,,,
bulls.parquet,n_progeny,derived,,,,
bulls.parquet,n_services_as_sire,derived,,,,
bulls.parquet,n_weights,derived,,,,
bulls.parquet,phase_now,derived,,,,
bulls.parquet,recipient_start,derived,,,,
bulls.parquet,sale_ticket_date,derived,,,,
bulls.parquet,sire_start,derived,,,,
calf_fates.parquet,age_at_transition,derived,,,,
calf_fates.parquet,c_age_exit,derived,,,,
calf_fates.parquet,c_age_now,derived,,,,
calf_fates.parquet,c_birth,derived,,,,
calf_fates.parquet,c_exit,derived,,,,
calf_fates.parquet,c_reason,derived,,,,
calf_fates.parquet,c_reason_group,derived,,,,
calf_fates.parquet,c_sex,derived,,,,
calf_fates.parquet,c_status,derived,,,,
calf_fates.parquet,c_wean,derived,,,,
calf_fates.parquet,calf_birth_date,derived,,,,
calf_fates.parquet,calf_id,derived,,,,
calf_fates.parquet,calf_in_animals,derived,,,,
calf_fates.parquet,delivered,derived,,,,
calf_fates.parquet,loss_type,derived,,,,
calf_fates.parquet,neonatal_days,derived,,,,
calf_fates.parquet,outcome,derived,,,,
calf_fates.parquet,outcome_final,derived,,,,
calf_fates.parquet,outcome_stage,derived,,,,
calf_fates.parquet,parity,derived,,,,
calf_fates.parquet,season_index,derived,,,,
calf_fates.parquet,season_start,derived,,,,
calf_fates.parquet,transition_date,derived,,,,
calf_fates.parquet,transition_kind,derived,,,,
calf_fates.parquet,transitioned,derived,,,,
calf_fates.parquet,weaned,derived,,,,
cow_lactations.parquet,age_at_calving_yrs,derived,,,,
cow_lactations.parquet,age_at_start_days,derived,,,,
cow_lactations.parquet,any_et,derived,,,,
cow_lactations.parquet,breeding_season,derived,,,,
cow_lactations.parquet,breeding_type,derived,,,,
cow_lactations.parquet,calf_birth_date,derived,,,,
cow_lactations.parquet,calf_crop,derived,,,,
cow_lactations.parquet,calf_id,derived,,,,
cow_lactations.parquet,calf_sex,derived,,,,
cow_lactations.parquet,calved,derived,,,,
cow_lactations.parquet,calving_interval_days,derived,,,,
cow_lactations.parquet,censored,derived,,,,
cow_lactations.parquet,crop_type,derived,,,,
cow_lactations.parquet,crop_year,derived,,,,
cow_lactations.parquet,dam_status,derived,,,,
cow_lactations.parquet,days_to_first_service,derived,,,,
cow_lactations.parquet,donor,derived,,,,
cow_lactations.parquet,exit_date,derived,,,,
cow_lactations.parquet,exit_reason,derived,,,,
cow_lactations.parquet,exit_reason_group,derived,,,,
cow_lactations.parquet,exposed,derived,,,,
cow_lactations.parquet,first_service,derived,,,,
cow_lactations.parquet,gestation_days,derived,,,,
cow_lactations.parquet,interval_ready,derived,,,,
cow_lactations.parquet,last_service,derived,,,,
cow_lactations.parquet,lost_before_calving,derived,,,,
cow_lactations.parquet,methods,derived,,,,
cow_lactations.parquet,n_calves_born,derived,,,,
cow_lactations.parquet,n_preg_checks,derived,,,,
cow_lactations.parquet,n_services,derived,,,,
cow_lactations.parquet,outcome,derived,,,,
cow_lactations.parquet,parity,derived,,,,
cow_lactations.parquet,rate_ready,derived,,,,
cow_lactations.parquet,recipient,derived,,,,
cow_lactations.parquet,record_horizon,derived,,,,
cow_lactations.parquet,retained_to_due,derived,,,,
cow_lactations.parquet,season_days,derived,,,,
cow_lactations.parquet,season_end,derived,,,,
cow_lactations.parquet,season_index,derived,,,,
cow_lactations.parquet,season_start,derived,,,,
cow_scorecard.parquet,age_yrs,derived,,,,
cow_scorecard.parquet,calvings,derived,,,,
cow_scorecard.parquet,delivered,derived,,,,
cow_scorecard.parquet,exit_reason_group,derived,,,,
cow_scorecard.parquet,failure_mode,derived,,,,
cow_scorecard.parquet,final,derived,,,,
cow_scorecard.parquet,first_season,derived,,,,
cow_scorecard.parquet,here,derived,,,,
cow_scorecard.parquet,intervals,derived,,,,
cow_scorecard.parquet,into_herd,derived,,,,
cow_scorecard.parquet,last_season,derived,,,,
cow_scorecard.parquet,left_open,derived,,,,
cow_scorecard.parquet,long_interval_days,derived,,,,
cow_scorecard.parquet,lost,derived,,,,
cow_scorecard.parquet,lost_birth,derived,,,,
cow_scorecard.parquet,lost_postWean,derived,,,,
cow_scorecard.parquet,lost_preWean,derived,,,,
cow_scorecard.parquet,lost_unknown,derived,,,,
cow_scorecard.parquet,med_interval,derived,,,,
cow_scorecard.parquet,neonatal_days,derived,,,,
cow_scorecard.parquet,open_record_complete,derived,,,,
cow_scorecard.parquet,pct_calved,derived,,,,
cow_scorecard.parquet,pct_delivered,derived,,,,
cow_scorecard.parquet,pct_left_open,derived,,,,
cow_scorecard.parquet,pct_slipped,derived,,,,
cow_scorecard.parquet,preliminary,derived,,,,
cow_scorecard.parquet,rankable,derived,,,,
cow_scorecard.parquet,seasons,derived,,,,
cow_scorecard.parquet,slipped,derived,,,,
cow_scorecard.parquet,sold,derived,,,,
cow_scorecard.parquet,unknowable,derived,,,,
disease_cases.parquet,age_days_at_onset,derived,,,,
disease_cases.parquet,age_months_at_onset,derived,,,,
disease_cases.parquet,case_fatal,derived,,,,
disease_cases.parquet,case_gap_days,derived,,,,
disease_cases.parquet,case_id,derived,,,,
