"table","column","type","filled","rows_in_table","name_in_export","classification","approved_by","approved_date","note"
"locations.parquet","phase_at_start","character",64809,65543,FALSE,"derived",,,
"locations.parquet","seq","integer",65543,65543,FALSE,"derived",,,
"locations.parquet","to_date","Date",65543,65543,FALSE,"derived (min/max of child records)",,,
"phase_risk.parquet","age_days_at_phase_start","numeric",8894,9487,FALSE,"derived",,,
"phase_risk.parquet","clock_true","logical",8390,9487,FALSE,"derived",,,
"phase_risk.parquet","cohort","character",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","cohort_season","character",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","cohort_sort","numeric",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","cohort_year","integer",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","days_anchor_late","numeric",634,9487,FALSE,"derived",,,
"phase_risk.parquet","days_at_risk","numeric",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","ended_by","character",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","exit_date","Date",5777,9487,FALSE,"derived (min/max of child records)",,,
"phase_risk.parquet","phase","character",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","phase_clock","character",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","phase_end","Date",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","phase_start","Date",9487,9487,FALSE,"derived",,,
"treatments.parquet","active_substance","character",4895,4895,FALSE,"derived",,,
"treatments.parquet","age_days_at_treatment","numeric",4676,4895,FALSE,"derived",,,
"treatments.parquet","age_months_at_treatment","numeric",4676,4895,FALSE,"derived",,,
"treatments.parquet","body_location","character",2619,4895,FALSE,"derived",,,
"treatments.parquet","dam_status","character",4859,4895,FALSE,"derived",,,
"treatments.parquet","disease_category","character",2798,4895,FALSE,"derived",,,
"treatments.parquet","drug_class","character",4895,4895,FALSE,"derived",,,
"treatments.parquet","in_animals_parquet","logical",4859,4895,FALSE,"derived",,,
"treatments.parquet","is_preventative","logical",1631,4895,FALSE,"derived",,,
"treatments.parquet","is_therapeutic","logical",3132,4895,FALSE,"derived",,,
"treatments.parquet","phase_at_treatment","character",4840,4895,FALSE,"derived",,,
"treatments.parquet","raw_category","character",1196,4895,FALSE,"derived",,,
"treatments.parquet","record_horizon","Date",4895,4895,FALSE,"derived",,,
"treatments.parquet","treatment_id","character",4895,4895,FALSE,"derived",,,
"treatments.parquet","treatment_intent","character",4895,4895,FALSE,"derived",,,
"treatments.parquet","withdrawal_days","numeric",272,4895,FALSE,"derived",,,
"animals.parquet","animal_id","character",4870,4870,TRUE,"sourced",,,
"animals.parquet","animal_type","character",4870,4870,TRUE,"sourced",,,
"animals.parquet","birth_date","Date",4400,4870,TRUE,"sourced",,,
"animals.parquet","category_id","character",3291,4870,TRUE,"sourced",,,
"animals.parquet","death_date","Date",480,4870,TRUE,"sourced",,,
"animals.parquet","ear_tag","character",3220,4870,TRUE,"sourced",,,
"animals.parquet","entry_rule","character",4870,4870,FALSE,"derived",,,
"animals.parquet","exit_reason_source","character",1689,4870,FALSE,"derived",,,
"animals.parquet","exit_rule","character",4870,4870,FALSE,"derived",,,
"animals.parquet","flag_activity_after_exit","logical",791,4870,FALSE,"derived",,,
"animals.parquet","flag_date_after_pull","array",1,4870,FALSE,"derived",,,
"animals.parquet","flag_entry_estimated","logical",373,4870,FALSE,"derived",,,
"animals.parquet","flag_exit_before_entry","logical",8,4870,FALSE,"derived",,,
"animals.parquet","flag_exit_estimated","logical",308,4870,FALSE,"derived",,,
"animals.parquet","flag_left_no_reason","logical",1324,4870,FALSE,"derived",,,
"animals.parquet","flag_left_undated","logical",308,4870,FALSE,"derived",,,
"animals.parquet","flag_no_birth_date","logical",470,4870,FALSE,"derived",,,
"animals.parquet","flag_placeholder_birth","logical",329,4870,FALSE,"derived",,,
"animals.parquet","flag_weaning_after_exit","logical",42,4870,FALSE,"derived",,,
"animals.parquet","flag_weaning_assumed","logical",783,4870,FALSE,"derived",,,
"animals.parquet","name","character",2877,4870,TRUE,"sourced",,,
"animals.parquet","purchase_date","Date",728,4870,TRUE,"sourced",,,
"animals.parquet","purchased","logical",754,4870,TRUE,"sourced",,,
"animals.parquet","sale_date","Date",2096,4870,TRUE,"sourced",,,
"animals.parquet","sex","character",4846,4870,TRUE,"sourced",,,
"animals.parquet","status","character",4870,4870,TRUE,"sourced",,,
"animals.parquet","weaning_date","Date",3864,4870,TRUE,"sourced",,,
"animals.parquet","weaning_source","character",4870,4870,FALSE,"derived",,,
"bulls.parquet","animal_id","character",1781,1781,TRUE,"sourced",,,
"bulls.parquet","animal_type","character",1781,1781,TRUE,"sourced",,,
"bulls.parquet","birth_date","Date",1657,1781,TRUE,"sourced",,,
"bulls.parquet","birth_weight","numeric",1081,1781,TRUE,"sourced",,,
"bulls.parquet","category_id","character",1230,1781,TRUE,"sourced",,,
"bulls.parquet","death_date","Date",191,1781,TRUE,"sourced",,,
"bulls.parquet","ear_tag","character",1272,1781,TRUE,"sourced",,,
"bulls.parquet","entry_rule","character",1781,1781,FALSE,"derived",,,
"bulls.parquet","exit_reason_source","character",516,1781,FALSE,"derived",,,
"bulls.parquet","exit_rule","character",1781,1781,FALSE,"derived",,,
"bulls.parquet","flag_activity_after_exit","logical",496,1781,FALSE,"derived",,,
"bulls.parquet","flag_date_after_pull","array",0,1781,FALSE,"derived",,,
"bulls.parquet","flag_entry_estimated","logical",118,1781,FALSE,"derived",,,
